timestamp,temperature,pressure,altitude
0,20.600000381469727,101344,-3.0808913707733154
123,20.5,101346,-2.747964859008789
246,20.5,101350,-4.830076694488525
368,20.600000381469727,101367,-4.830076694488525
490,20.5,101371,-4.9146294593811035
613,20.600000381469727,101371,-4.666255950927734
736,20.5,101367,-4.999182224273682
859,20.5,101368,-4.41259765625
982,20.5,101367,-4.999182224273682
1105,20.5,101369,-4.497150421142578
1228,20.5,101365,-4.999182224273682
1350,20.5,101369,-4.41259765625
1472,20.5,101366,-4.0796709060668945
1595,20.5,101369,-4.497150421142578
1718,20.5,101365,-4.581703186035156
1841,20.600000381469727,101372,-5.0784502029418945
1970,20.600000381469727,101363,-4.497150421142578
2093,20.5,101361,-4.666255950927734
2216,20.5,101370,-4.745523929595947
2339,20.5,101364,-4.333329200744629
2461,20.600000381469727,101366,-4.666255950927734
2583,20.5,101368,-4.999182224273682
2707,20.600000381469727,101368,-7.657309532165527
2830,20.5,101362,-4.0796709060668945
2953,20.600000381469727,101342,-1.669917106628418
3076,20.5,101311,0.5839425325393677
3199,20.5,101270,5.99796199798584
3322,20.5,101198,9.498974800109863
3445,20.5,101194,9.58088493347168
3567,20.600000381469727,101173,12.748971939086914
3689,20.5,101114,17.000391006469727
3812,20.600000381469727,101089,19.505266189575195
3935,20.5,101045,24.2613582611084
4058,20.5,100965,31.69143295288086
4181,20.5,100834,43.30686950683594
4304,20.600000381469727,100668,57.53023147583008
4427,20.600000381469727,100512,71.60562133789062
4549,20.5,100295,89.90072631835938
4671,20.600000381469727,100115,104.52571105957031
4794,20.5,99940,119.50740814208984
4917,20.600000381469727,99760,133.749267578125
5040,20.5,99619,145.734619140625
5163,20.600000381469727,99448,160.60533142089844
5286,20.600000381469727,99276,174.05979919433594
5409,20.5,99127,186.8536834716797
5531,20.5,98970,200.683349609375
5653,20.5,98824,212.74267578125
5776,20.5,98677,225.2432861328125
5899,20.5,98538,237.50607299804688
6022,20.5,98389,249.52313232421875
6145,20.5,98258,260.36175537109375
6269,20.5,98122,271.8080749511719
6392,20.5,97997,282.8395690917969
6520,20.5,97865,292.9436340332031
6657,20.5,97732,304.85498046875
6794,20.5,97584,317.2948303222656
6917,20.5,97468,327.4305725097656
7040,20.5,97366,336.5437927246094
7178,20.5,97241,346.8697814941406
7301,20.5,97136,356.344970703125
7424,20.5,97036,363.4130554199219
7547,20.5,96953,371.4376525878906
7670,20.5,96856,379.6392822265625
7792,20.5,96758,388.2795104980469
7930,20.5,96659,397.3609924316406
8054,20.5,96563,404.8042907714844
8176,20.5,96477,412.8579406738281
8298,20.5,96379,420.7477722167969
8421,20.5,96298,427.86077880859375
8544,20.5,96227,434.1969299316406
8667,20.5,96138,440.97174072265625
8797,20.5,96071,448.09796142578125
8924,20.5,95992,454.0985412597656
9047,20.5,95927,459.9300537109375
9170,20.5,95856,466.1103210449219
9293,20.5,95798,471.1650085449219
9415,20.5,95743,476.39404296875
9537,20.5,95680,481.2769775390625
9660,20.5,95623,486.42413330078125
9783,20.5,95573,491.0507507324219
9920,20.5,95504,496.02880859375
10044,20.5,95448,501.27105712890625
10181,20.5,95397,505.6413879394531
10319,20.5,95348,510.6273498535156
10868,20.399999618530273,95164,526.1216430664062
11005,20.5,95128,529.2765502929688
11142,20.5,95097,530.941162109375
11265,20.5,95076,533.6574096679688
11388,20.5,95042,536.02490234375
11511,20.5,95019,538.6566162109375
11633,20.399999618530273,94994,540.498291015625
11761,20.5,94973,542.2527465820312
11899,20.5,94947,545.8515014648438
12036,20.399999618530273,94897,548.5730590820312
12449,20.399999618530273,94857,551.9102172851562
12571,20.399999618530273,94841,553.5801391601562
12693,20.399999618530273,94835,554.10595703125
12816,20.399999618530273,94828,555.1602172851562
12939,20.399999618530273,94819,555.1602172851562
13062,20.399999618530273,94812,555.9502563476562
13185,20.399999618530273,94814,556.2145385742188
13308,20.399999618530273,94810,556.2145385742188
13431,20.399999618530273,94807,556.3016967773438
13553,20.399999618530273,94826,554.7216186523438
13675,20.399999618530273,94829,554.2803955078125
13798,20.399999618530273,94835,554.10595703125
13921,20.399999618530273,94841,553.4031372070312
14044,20.399999618530273,94846,552.348876953125
14167,20.399999618530273,94855,551.9102172851562
14290,20.399999618530273,94872,550.5045776367188
14413,20.399999618530273,94881,549.3630981445312
14535,20.399999618530273,94894,547.9573974609375
14657,20.399999618530273,94917,546.6415405273438
14780,20.399999618530273,94929,545.0614624023438
14903,20.399999618530273,94955,542.6041870117188
15026,20.399999618530273,94972,541.2011108398438
15149,20.399999618530273,94996,539.09521484375
15272,20.399999618530273,95020,537.2535400390625
15395,20.399999618530273,95046,534.621826171875
15517,20.399999618530273,95070,532.6929931640625
15639,20.399999618530273,95104,530.151123046875
15761,20.399999618530273,95128,527.34765625
15884,20.399999618530273,95154,524.8084716796875
16007,20.399999618530273,95190,521.5663452148438
16130,20.399999618530273,95229,518.0653686523438
16253,20.399999618530273,95271,515.3517456054688
16376,20.399999618530273,95308,511.501953125
16498,20.399999618530273,95349,508.35235595703125
16620,20.399999618530273,95382,504.5052185058594
16743,20.399999618530273,95421,500.9222717285156
16866,20.399999618530273,95476,496.8161926269531
16989,20.399999618530273,95521,492.53570556640625
17112,20.399999618530273,95569,489.30419921875
17235,20.399999618530273,95618,484.15704345703125
17358,20.399999618530273,95666,479.70745849609375
17481,20.399999618530273,95722,475.08612060546875
17603,20.399999618530273,95775,470.2058410644531
17725,20.399999618530273,95830,465.85137939453125
17848,20.399999618530273,95881,460.8865661621094
17971,20.399999618530273,95937,455.927001953125
18094,20.399999618530273,95998,450.4469299316406
18217,20.399999618530273,96059,445.2284240722656
18340,20.399999618530273,96119,439.92803955078125
18463,20.399999618530273,96187,434.0225524902344
18585,20.399999618530273,96251,428.468505859375
18707,20.399999618530273,96318,423.0888366699219
18830,20.399999618530273,96388,417.4528503417969
18953,20.399999618530273,96452,410.6912841796875
19076,20.399999618530273,96527,404.0248107910156
19199,20.399999618530273,96607,398.05328369140625
19322,20.399999618530273,96674,391.825439453125
19445,20.399999618530273,96752,384.9951477050781
19567,20.399999618530273,96829,378.170166015625
19690,20.399999618530273,96908,371.9555358886719
19816,20.399999618530273,96988,364.36163330078125
19953,20.399999618530273,97077,357.2935485839844
20091,20.399999618530273,97171,348.7643127441406
20228,20.399999618530273,97260,340.67364501953125
20366,20.399999618530273,97354,333.19073486328125
20489,20.399999618530273,97436,325.5413513183594
20612,20.399999618530273,97531,317.9818115234375
20735,20.399999618530273,97616,309.83038330078125
20858,20.399999618530273,97714,302.28143310546875
20981,20.399999618530273,97799,294.5686340332031
21103,20.399999618530273,97892,286.1794128417969
21225,20.399999618530273,97980,278.8206787109375
21348,20.399999618530273,98085,270.6111145019531
21481,20.399999618530273,98183,261.47149658203125
21604,20.399999618530273,98280,253.27780151367188
21727,20.399999618530273,98374,244.83309936523438
21853,20.399999618530273,98481,235.8018035888672
21990,20.399999618530273,98593,226.8603515625
22113,20.399999618530273,98694,217.84490966796875
22236,20.399999618530273,98802,208.75021362304688
22373,20.399999618530273,98912,198.73069763183594
22497,20.399999618530273,99020,190.24636840820312
22620,20.399999618530273,99135,180.49900817871094
22743,20.399999618530273,99238,171.60511779785156
22866,20.399999618530273,99347,161.9608154296875
22989,20.399999618530273,99455,153.08277893066406
23111,20.399999618530273,99579,143.20068359375
23233,20.399999618530273,99678,134.76390075683594
23371,20.399999618530273,99801,123.46553039550781
23509,20.399999618530273,99946,112.51859283447266
23632,20.399999618530273,100049,102.4224624633789
23755,20.399999618530273,100172,92.92349243164062
23877,20.399999618530273,100286,82.76394653320312
23999,20.399999618530273,100406,73.3680191040039
24122,20.399999618530273,100517,63.477989196777344
24245,20.399999618530273,100641,53.26031494140625
24368,20.399999618530273,100764,43.391422271728516
24491,20.399999618530273,100883,32.526390075683594
24614,20.399999618530273,101008,22.591442108154297
24737,20.399999618530273,101132,12.165029525756836
24859,20.399999618530273,101253,2.0002012252807617
